,OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,size.sub,preferred
9277,Otu009283,75,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,13,Planctomycetes
9385,Otu009391,73,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,33,Planctomycetes
9395,Otu009401,73,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,27,Planctomycetes
9473,Otu009479,72,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,13,Planctomycetes
9809,Otu009815,68,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,22,Planctomycetes
10148,Otu010154,65,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,14,Planctomycetes
10365,Otu010371,62,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,AKYG587,17,Planctomycetes
10647,Otu010654,60,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,15,Planctomycetes
10746,Otu010753,59,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,10,Planctomycetes
10993,Otu011001,56,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,16,Planctomycetes
11007,Otu011015,56,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,14,Planctomycetes
11462,Otu011472,53,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,13,Planctomycetes
11600,Otu011611,52,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,16,Planctomycetes
12139,Otu012151,48,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,12,Planctomycetes
