,OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,size.sub,preferred
3173,Otu003173,353,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,16,Planctomycetes
3217,Otu003217,346,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,38,Planctomycetes
3240,Otu003240,342,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,68,Planctomycetes
3248,Otu003248,341,Bacteria,Planctomycetes,OM190,OM190_unclassified,OM190_unclassified,OM190_unclassified,75,Planctomycetes
3253,Otu003253,340,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,63,Planctomycetes
3310,Otu003310,331,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Candidatus_Nostocoida,54,Planctomycetes
3317,Otu003317,330,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,59,Planctomycetes
3369,Otu003369,323,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,68,Planctomycetes
3391,Otu003391,320,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4_lineage,35,Planctomycetes
3408,Otu003408,318,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,54,Planctomycetes
3423,Otu003423,317,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,33,Planctomycetes
3486,Otu003486,309,Bacteria,Planctomycetes,Phycisphaerae,Pla1_lineage,Pla1_lineage_unclassified,Pla1_lineage_unclassified,36,Planctomycetes
3519,Otu003519,305,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,36,Planctomycetes
3523,Otu003523,305,Bacteria,Planctomycetes,Phycisphaerae,mle1-8,mle1-8_unclassified,mle1-8_unclassified,29,Planctomycetes
3527,Otu003527,304,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,41,Planctomycetes
3533,Otu003533,304,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Isosphaera,91,Planctomycetes
3552,Otu003552,301,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,43,Planctomycetes
3580,Otu003580,299,Bacteria,Planctomycetes,Phycisphaerae,mle1-8,mle1-8_unclassified,mle1-8_unclassified,46,Planctomycetes
3606,Otu003606,294,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Isosphaera,73,Planctomycetes
3622,Otu003622,293,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,47,Planctomycetes
3634,Otu003634,291,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,45,Planctomycetes
3663,Otu003663,288,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,34,Planctomycetes
3664,Otu003664,288,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,50,Planctomycetes
3673,Otu003673,287,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,50,Planctomycetes
3693,Otu003694,285,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,28,Planctomycetes
3707,Otu003708,283,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula,62,Planctomycetes
3708,Otu003709,283,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,62,Planctomycetes
3724,Otu003725,282,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,62,Planctomycetes
3749,Otu003750,280,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,59,Planctomycetes
3755,Otu003756,280,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,25,Planctomycetes
3796,Otu003797,277,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,52,Planctomycetes
3820,Otu003821,275,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,52,Planctomycetes
3891,Otu003892,267,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,43,Planctomycetes
3908,Otu003909,266,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Candidatus_Nostocoida,36,Planctomycetes
3967,Otu003968,261,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,19,Planctomycetes
3978,Otu003979,260,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,37,Planctomycetes
3981,Otu003982,260,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,43,Planctomycetes
4005,Otu004006,257,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,50,Planctomycetes
4008,Otu004009,257,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,42,Planctomycetes
4019,Otu004020,255,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,50,Planctomycetes
4048,Otu004049,252,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,35,Planctomycetes
4066,Otu004067,251,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,48,Planctomycetes
4097,Otu004098,249,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,39,Planctomycetes
4105,Otu004106,248,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,58,Planctomycetes
4107,Otu004108,248,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,61,Planctomycetes
4161,Otu004162,244,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,67,Planctomycetes
4219,Otu004220,239,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,13,Planctomycetes
4235,Otu004236,238,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,56,Planctomycetes
4255,Otu004256,237,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,75,Planctomycetes
4309,Otu004310,234,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,23,Planctomycetes
4361,Otu004362,229,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,40,Planctomycetes
4366,Otu004367,228,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,30,Planctomycetes
4373,Otu004374,228,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,59,Planctomycetes
4376,Otu004377,228,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,20,Planctomycetes
4496,Otu004497,218,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,19,Planctomycetes
4529,Otu004530,217,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,59,Planctomycetes
4545,Otu004546,215,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,45,Planctomycetes
4561,Otu004562,214,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,66,Planctomycetes
4713,Otu004714,204,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,35,Planctomycetes
4745,Otu004746,202,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19_marine_sediment_group,12,Planctomycetes
4764,Otu004765,201,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,13,Planctomycetes
4788,Otu004789,199,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pir4_lineage,59,Planctomycetes
4823,Otu004824,197,Bacteria,Planctomycetes,028H05-P-BN-P5,028H05-P-BN-P5_unclassified,028H05-P-BN-P5_unclassified,028H05-P-BN-P5_unclassified,16,Planctomycetes
4852,Otu004853,196,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,51,Planctomycetes
4880,Otu004881,195,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,61,Planctomycetes
4888,Otu004889,195,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,47,Planctomycetes
4890,Otu004891,195,Bacteria,Planctomycetes,Phycisphaerae,CPla-3_termite_group,CPla-3_termite_group_unclassified,CPla-3_termite_group_unclassified,14,Planctomycetes
4902,Otu004903,194,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,42,Planctomycetes
4926,Otu004927,193,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,34,Planctomycetes
4983,Otu004984,190,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,49,Planctomycetes
5002,Otu005003,189,Bacteria,Planctomycetes,Pla4_lineage,Pla4_lineage_unclassified,Pla4_lineage_unclassified,Pla4_lineage_unclassified,13,Planctomycetes
5026,Otu005027,187,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,46,Planctomycetes
5097,Otu005098,183,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,30,Planctomycetes
5101,Otu005102,183,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,41,Planctomycetes
