"","OTU","s.deep.water","s.marsh.water","s.deep.sed","s.marsh.sed","s.wet.soil","s.up.soil","index","stat","p.value","p.fdr","X","Size","Kingdom","Phylum","Class","Order","Family","Genus","size.sub","preferred"
"1","Otu006045",1,0,0,0,0,0,1,0.45557345160942,0.02,0.046,6042,144,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",27,"Bacteria_unclassified"
"2","Otu001890",1,0,0,0,0,0,1,0.466036588189306,0.02,0.046,1890,692,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophagaceae_unclassified",104,"Bacteroidetes"
"3","Otu007496",1,0,0,0,0,0,1,0.5,0.01,0.028,7492,104,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Chitinophagaceae_unclassified",16,"Bacteroidetes"
"4","Otu004980",1,0,0,0,0,0,1,0.408248290463863,0.01,0.028,4979,190,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",36,"Candidate_division_OD1"
"5","Otu001216",1,0,0,0,0,0,1,0.594732970776228,0.01,0.028,1216,1142,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","OPB56","OPB56_unclassified",148,"Chlorobi"
"6","Otu000035",1,0,0,0,0,0,1,0.851608427246584,0.01,0.028,35,31481,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",5935,"Gammaproteobacteria"
"7","Otu002269",1,0,0,0,0,0,1,0.562749693404665,0.01,0.028,2269,545,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_unclassified","Rickettsiales_unclassified",73,"Alphaproteobacteria"
"8","Otu002676",1,0,0,0,0,0,1,0.57282196186948,0.01,0.028,2676,436,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",69,"Gammaproteobacteria"
"9","Otu004693",1,0,0,0,0,0,1,0.521640530957301,0.01,0.028,4692,205,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",23,"Deltaproteobacteria"
"10","Otu005290",1,0,0,0,0,0,1,0.5671308728156,0.02,0.046,5289,174,"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Leeia",28,"Betaproteobacteria"
"11","Otu006084",1,0,0,0,0,0,1,0.577350269189626,0.01,0.028,6081,143,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia",23,"Alphaproteobacteria"
"12","Otu007931",1,0,0,0,0,0,1,0.408248290463863,0.02,0.046,7926,96,"Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified",19,"Alphaproteobacteria"
"13","Otu008202",1,0,0,0,0,0,1,0.408248290463863,0.02,0.046,8197,91,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella",17,"Gammaproteobacteria"
"14","Otu009248",1,0,0,0,0,0,1,0.395284707521047,0.02,0.046,9242,75,"Bacteria","TM6","TM6_unclassified","TM6_unclassified","TM6_unclassified","TM6_unclassified",16,"TM6"
"15","Otu010473",1,0,0,0,0,0,1,0.480384461415261,0.01,0.028,10467,61,"Bacteria","TM6","TM6_unclassified","TM6_unclassified","TM6_unclassified","TM6_unclassified",13,"TM6"
"16","Otu002235",0,1,0,0,0,0,2,0.682381610454625,0.01,0.028,2235,554,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",107,"Bacteria_unclassified"
"17","Otu003908",0,1,0,0,0,0,2,0.645285298517363,0.01,0.028,3907,266,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",62,"Bacteria_unclassified"
"18","Otu000511",0,1,0,0,0,0,2,0.853563698818029,0.01,0.028,511,2817,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Arcicella",661,"Bacteroidetes"
"19","Otu002514",0,1,0,0,0,0,2,0.574287381432557,0.01,0.028,2514,474,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Paludibacter",35,"Bacteroidetes"
"20","Otu004378",0,1,0,0,0,0,2,0.556037898454338,0.01,0.028,4377,227,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",84,"Bacteroidetes"
"21","Otu009985",0,1,0,0,0,0,2,0.408248290463863,0.02,0.046,9979,67,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",23,"Bacteroidetes"
"22","Otu000683",0,1,0,0,0,0,2,0.830733392180409,0.01,0.028,683,2126,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",264,"Candidate_division_OD1"
"23","Otu006345",0,1,0,0,0,0,2,0.5,0.01,0.028,6342,134,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",26,"Candidate_division_OD1"
"24","Otu008036",0,1,0,0,0,0,2,0.493710441453287,0.02,0.046,8031,94,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",42,"Candidate_division_OD1"
"25","Otu008148",0,1,0,0,0,0,2,0.5,0.02,0.046,8143,92,"Bacteria","Candidate_division_OD1","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified","Candidate_division_OD1_unclassified",14,"Candidate_division_OD1"
"26","Otu001757",0,1,0,0,0,0,2,0.675675111829258,0.01,0.028,1757,765,"Bacteria","Candidate_division_SR1","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified",110,"Candidate_division_SR1"
"27","Otu006486",0,1,0,0,0,0,2,0.554700196225229,0.01,0.028,6482,130,"Bacteria","Candidate_division_SR1","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified","Candidate_division_SR1_unclassified",33,"Candidate_division_SR1"
"28","Otu011611",0,1,0,0,0,0,2,0.522936691360934,0.02,0.046,11600,52,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera",16,"Planctomycetes"
"29","Otu002920",0,1,0,0,0,0,2,0.408248290463863,0.02,0.046,2920,392,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter",82,"Epsilonproteobacteria"
"30","Otu004844",0,1,0,0,0,0,2,0.44729792230312,0.01,0.028,4843,196,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",33,"Alphaproteobacteria"
"31","Otu004931",0,1,0,0,0,0,2,0.611875984511072,0.01,0.028,4930,193,"Bacteria","Verrucomicrobia","Spartobacteria","Chthoniobacterales","FukuN18_freshwater_group","FukuN18_freshwater_group_unclassified",47,"Verrucomicrobia"
"32","Otu001881",0,0,1,0,0,0,3,0.753659756627496,0.01,0.028,1881,695,"Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Holophagaceae_unclassified",136,"Acidobacteria"
"33","Otu002061",0,0,1,0,0,0,3,0.725233787855615,0.01,0.028,2061,617,"Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Holophagaceae_unclassified",103,"Acidobacteria"
"34","Otu004429",0,0,1,0,0,0,3,0.739468222097796,0.01,0.028,4428,223,"Bacteria","Acidobacteria","Acidobacteria","Subgroup_6","Subgroup_6_unclassified","Subgroup_6_unclassified",66,"Acidobacteria"
"35","Otu002310",0,0,1,0,0,0,3,0.657507806114389,0.01,0.028,2310,533,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Coriobacteriaceae_unclassified",121,"Actinobacteria"
"36","Otu003496",0,0,1,0,0,0,3,0.681742496068773,0.01,0.028,3496,308,"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellales_unclassified","Gaiellales_unclassified",63,"Actinobacteria"
"37","Otu004230",0,0,1,0,0,0,3,0.63061255269431,0.01,0.028,4229,239,"Bacteria","Actinobacteria","Actinobacteria","PeM15","PeM15_unclassified","PeM15_unclassified",77,"Actinobacteria"
"38","Otu005671",0,0,1,0,0,0,3,0.575808650935659,0.01,0.028,5670,158,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcales_unclassified","Micrococcales_unclassified",37,"Actinobacteria"
"39","Otu007690",0,0,1,0,0,0,3,0.559140878030068,0.02,0.046,7686,100,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Acidimicrobiaceae_unclassified",26,"Actinobacteria"
"40","Otu003242",0,0,1,0,0,0,3,0.598496639070493,0.01,0.028,3242,342,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",71,"Bacteria_unclassified"
"41","Otu004083",0,0,1,0,0,0,3,0.687447667806449,0.01,0.028,4082,250,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",54,"Bacteria_unclassified"
"42","Otu004196",0,0,1,0,0,0,3,0.643303475633806,0.01,0.028,4195,241,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",46,"Bacteria_unclassified"
"43","Otu004538",0,0,1,0,0,0,3,0.602769400914692,0.01,0.028,4537,216,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified",48,"Bacteria_unclassified"
"44","Otu000853",0,0,1,0,0,0,3,0.805841731934418,0.01,0.028,853,1693,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","WCHB1-69","WCHB1-69_unclassified",362,"Bacteroidetes"
"45","Otu001211",0,0,1,0,0,0,3,0.7107488921056,0.01,0.028,1211,1148,"Bacteria","Bacteroidetes","vadinHA17","vadinHA17_unclassified","vadinHA17_unclassified","vadinHA17_unclassified",228,"Bacteroidetes"
"46","Otu001458",0,0,1,0,0,0,3,0.693117724290191,0.01,0.028,1458,934,"Bacteria","Bacteroidetes","vadinHA17","vadinHA17_unclassified","vadinHA17_unclassified","vadinHA17_unclassified",190,"Bacteroidetes"
"47","Otu001816",0,0,1,0,0,0,3,0.73510003669285,0.01,0.028,1816,733,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","AKYH767","AKYH767_unclassified",146,"Bacteroidetes"
"48","Otu002270",0,0,1,0,0,0,3,0.752390249350127,0.01,0.028,2270,545,"Bacteria","Bacteroidetes","SB-5","SB-5_unclassified","SB-5_unclassified","SB-5_unclassified",101,"Bacteroidetes"
"49","Otu002649",0,0,1,0,0,0,3,0.76117726257159,0.01,0.028,2649,444,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophagaceae_unclassified",158,"Bacteroidetes"
"50","Otu002896",0,0,1,0,0,0,3,0.734385313933898,0.01,0.028,2896,395,"Bacteria","Bacteroidetes","vadinHA17","vadinHA17_unclassified","vadinHA17_unclassified","vadinHA17_unclassified",82,"Bacteroidetes"
"51","Otu003137",0,0,1,0,0,0,3,0.843147718819196,0.01,0.028,3137,359,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","WCHB1-69","WCHB1-69_unclassified",82,"Bacteroidetes"
"52","Otu003631",0,0,1,0,0,0,3,0.665719023448946,0.01,0.028,3631,292,"Bacteria","Bacteroidetes","vadinHA17","vadinHA17_unclassified","vadinHA17_unclassified","vadinHA17_unclassified",59,"Bacteroidetes"
"53","Otu003772",0,0,1,0,0,0,3,0.72191282657669,0.01,0.028,3771,279,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","env.OPS_17","env.OPS_17_unclassified",53,"Bacteroidetes"
"54","Otu003804",0,0,1,0,0,0,3,0.723574823741876,0.01,0.028,3803,277,"Bacteria","Bacteroidetes","BD2-2","BD2-2_unclassified","BD2-2_unclassified","BD2-2_unclassified",66,"Bacteroidetes"
"55","Otu003881",0,0,1,0,0,0,3,0.633990818431436,0.01,0.028,3880,269,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophagaceae_unclassified",81,"Bacteroidetes"
"56","Otu004124",0,0,1,0,0,0,3,0.704176843853211,0.01,0.028,4123,247,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Blvii28_wastewater-sludge_group",62,"Bacteroidetes"
"57","Otu004523",0,0,1,0,0,0,3,0.677107102712371,0.01,0.028,4522,217,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","WCHB1-69","WCHB1-69_unclassified",61,"Bacteroidetes"
"58","Otu004993",0,0,1,0,0,0,3,0.745639730267129,0.01,0.028,4992,189,"Bacteria","Bacteroidetes","SB-5","SB-5_unclassified","SB-5_unclassified","SB-5_unclassified",51,"Bacteroidetes"
"59","Otu005019",0,0,1,0,0,0,3,0.577844364504008,0.01,0.028,5018,188,"Bacteria","Bacteroidetes","BD2-2","BD2-2_unclassified","BD2-2_unclassified","BD2-2_unclassified",37,"Bacteroidetes"
"60","Otu005365",0,0,1,0,0,0,3,0.66700077596912,0.01,0.028,5364,171,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","WCHB1-69","WCHB1-69_unclassified",41,"Bacteroidetes"
"61","Otu006560",0,0,1,0,0,0,3,0.623932845751255,0.01,0.028,6556,128,"Bacteria","Bacteroidetes","SB-5","SB-5_unclassified","SB-5_unclassified","SB-5_unclassified",31,"Bacteroidetes"
"62","Otu009334",0,0,1,0,0,0,3,0.573033921899628,0.01,0.028,9328,74,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","M2PB4-65_termite_group","M2PB4-65_termite_group_unclassified",20,"Bacteroidetes"
"63","Otu011409",0,0,1,0,0,0,3,0.700721939113552,0.01,0.028,11399,53,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","Saprospiraceae_unclassified",20,"Bacteroidetes"
"64","Otu002484",0,0,1,0,0,0,3,0.631718838901034,0.01,0.028,2484,484,"Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium",148,"Chlorobi"
"65","Otu004494",0,0,1,0,0,0,3,0.676486067269302,0.01,0.028,4493,219,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","OPB56","OPB56_unclassified",64,"Chlorobi"
"66","Otu002456",0,0,1,0,0,0,3,0.692620672120941,0.01,0.028,2456,491,"Bacteria","Chloroflexi","KD4-96","KD4-96_unclassified","KD4-96_unclassified","KD4-96_unclassified",94,"Chloroflexi"
"67","Otu002628",0,0,1,0,0,0,3,0.606968884636842,0.01,0.028,2628,450,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified",71,"Chloroflexi"
"68","Otu003119",0,0,1,0,0,0,3,0.740982870146805,0.01,0.028,3119,361,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolinea",74,"Chloroflexi"
"69","Otu003132",0,0,1,0,0,0,3,0.546900082190492,0.01,0.028,3132,359,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Leptolinea",47,"Chloroflexi"
"70","Otu003739",0,0,1,0,0,0,3,0.695137205395328,0.01,0.028,3738,281,"Bacteria","Chloroflexi","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified","Chloroflexi_unclassified",75,"Chloroflexi"
"71","Otu004975",0,0,1,0,0,0,3,0.56446213785551,0.02,0.046,4974,190,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified",56,"Chloroflexi"
"72","Otu009400",0,0,1,0,0,0,3,0.66408052964419,0.01,0.028,9394,73,"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","Anaerolineaceae_unclassified",22,"Chloroflexi"
"73","Otu001019",0,0,1,0,0,0,3,0.680724822807202,0.01,0.028,1019,1387,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Incertae_Sedis",188,"Firmicutes"
"74","Otu002630",0,0,1,0,0,0,3,0.535129551009507,0.01,0.028,2630,450,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII","Family_XIII_unclassified",64,"Firmicutes"
"75","Otu002919",0,0,1,0,0,0,3,0.547755866871056,0.01,0.028,2919,393,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",44,"Firmicutes"
"76","Otu004152",0,0,1,0,0,0,3,0.528565255418742,0.01,0.028,4151,245,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified",46,"Firmicutes"
"77","Otu005373",0,0,1,0,0,0,3,0.519086009608217,0.01,0.028,5372,170,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila",42,"Firmicutes"
"78","Otu008088",0,0,1,0,0,0,3,0.587108993030229,0.01,0.028,8083,93,"Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Syntrophomonas",22,"Firmicutes"
"79","Otu003435",0,0,1,0,0,0,3,0.421037679160342,0.02,0.046,3435,315,"Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_unclassified",39,"Gemmatimonadetes"
"80","Otu003539",0,0,1,0,0,0,3,0.673988143082473,0.01,0.028,3539,303,"Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonadaceae_unclassified",84,"Gemmatimonadetes"
"81","Otu003692",0,0,1,0,0,0,3,0.720333171773889,0.01,0.028,3692,285,"Bacteria","Lentisphaerae","RFP12_gut_group","RFP12_gut_group_unclassified","RFP12_gut_group_unclassified","RFP12_gut_group_unclassified",71,"Lentisphaerae"
"82","Otu003922",0,0,1,0,0,0,3,0.554179041328645,0.02,0.046,3921,265,"Bacteria","Lentisphaerae","DEV055","DEV055_unclassified","DEV055_unclassified","DEV055_unclassified",50,"Lentisphaerae"
"83","Otu011402",0,0,1,0,0,0,3,0.664527756720311,0.01,0.028,11392,53,"Bacteria","Lentisphaerae","Lentisphaerae_unclassified","Lentisphaerae_unclassified","Lentisphaerae_unclassified","Lentisphaerae_unclassified",23,"Lentisphaerae"
"84","Otu002319",0,0,1,0,0,0,3,0.594505118437761,0.02,0.046,2319,531,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage",68,"Planctomycetes"
"85","Otu002862",0,0,1,0,0,0,3,0.676656046860048,0.01,0.028,2862,402,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Gemmata",66,"Planctomycetes"
"86","Otu003054",0,0,1,0,0,0,3,0.572665098247128,0.02,0.046,3054,370,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula",55,"Planctomycetes"
"87","Otu004789",0,0,1,0,0,0,3,0.630641534097863,0.01,0.028,4788,199,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage",59,"Planctomycetes"
"88","Otu007967",0,0,1,0,0,0,3,0.610045121107143,0.01,0.028,7962,95,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Candidatus_Anammoximicrobium",26,"Planctomycetes"
"89","Otu001173",0,0,1,0,0,0,3,0.84485017810854,0.01,0.028,1173,1207,"Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified",254,"Deltaproteobacteria"
"90","Otu001459",0,0,1,0,0,0,3,0.738076960565778,0.01,0.028,1459,934,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Arenicella",165,"Gammaproteobacteria"
"91","Otu001748",0,0,1,0,0,0,3,0.485920683415914,0.02,0.046,1748,768,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella",87,"Gammaproteobacteria"
"92","Otu001874",0,0,1,0,0,0,3,0.746220237990313,0.01,0.028,1874,700,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified",157,"Betaproteobacteria"
"93","Otu002318",0,0,1,0,0,0,3,0.750448323311004,0.01,0.028,2318,531,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter",113,"Deltaproteobacteria"
"94","Otu002461",0,0,1,0,0,0,3,0.528836280160891,0.01,0.028,2461,490,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia",86,"Alphaproteobacteria"
"95","Otu002604",0,0,1,0,0,0,3,0.626507842963427,0.01,0.028,2604,455,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfobulbus",107,"Deltaproteobacteria"
"96","Otu002718",0,0,1,0,0,0,3,0.712990317500532,0.01,0.028,2718,428,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylococcaceae_unclassified",82,"Gammaproteobacteria"
"97","Otu002795",0,0,1,0,0,0,3,0.734379837410829,0.01,0.028,2795,416,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified",72,"Betaproteobacteria"
"98","Otu002812",0,0,1,0,0,0,3,0.66896024639194,0.01,0.028,2812,413,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified",88,"Betaproteobacteria"
"99","Otu002843",0,0,1,0,0,0,3,0.722668578550008,0.01,0.028,2843,405,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Smithella",89,"Deltaproteobacteria"
"100","Otu003092",0,0,1,0,0,0,3,0.696606299789619,0.01,0.028,3092,365,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Tolumonas",78,"Gammaproteobacteria"
"101","Otu003095",0,0,1,0,0,0,3,0.634510229703072,0.01,0.028,3095,364,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum",64,"Gammaproteobacteria"
"102","Otu003205",0,0,1,0,0,0,3,0.603146171344214,0.01,0.028,3205,347,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified",85,"Gammaproteobacteria"
"103","Otu003402",0,0,1,0,0,0,3,0.686955464996025,0.01,0.028,3402,319,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Crenotrichaceae","Crenothrix",65,"Gammaproteobacteria"
"104","Otu003640",0,0,1,0,0,0,3,0.635974200636275,0.01,0.028,3640,291,"Bacteria","Proteobacteria","Deltaproteobacteria","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified","Deltaproteobacteria_unclassified",66,"Deltaproteobacteria"
"105","Otu003824",0,0,1,0,0,0,3,0.603778044135887,0.01,0.028,3823,274,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Sorangium",45,"Deltaproteobacteria"
"106","Otu004211",0,0,1,0,0,0,3,0.672103785801021,0.01,0.028,4210,240,"Bacteria","Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified",43,"Betaproteobacteria"
"107","Otu004246",0,0,1,0,0,0,3,0.526817927478623,0.01,0.028,4245,237,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","MA-28-I98C","MA-28-I98C_unclassified",46,"Deltaproteobacteria"
"108","Otu004276",0,0,1,0,0,0,3,0.699946460135102,0.01,0.028,4275,235,"Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485","Sva0485_unclassified","Sva0485_unclassified",59,"Deltaproteobacteria"
"109","Otu004313",0,0,1,0,0,0,3,0.539122472984913,0.01,0.028,4312,233,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadales_unclassified","Desulfuromonadales_unclassified",48,"Deltaproteobacteria"
"110","Otu004634",0,0,1,0,0,0,3,0.521748476652428,0.02,0.046,4633,209,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Acidiferrobacter",42,"Gammaproteobacteria"
"111","Otu005006",0,0,1,0,0,0,3,0.638172130569307,0.01,0.028,5005,189,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderiaceae_unclassified",43,"Betaproteobacteria"
"112","Otu005010",0,0,1,0,0,0,3,0.610696994975521,0.01,0.028,5009,189,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcales_unclassified","Methylococcales_unclassified",47,"Gammaproteobacteria"
"113","Otu005014",0,0,1,0,0,0,3,0.67781840332659,0.01,0.028,5013,188,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter",53,"Deltaproteobacteria"
"114","Otu005095",0,0,1,0,0,0,3,0.747013130307725,0.01,0.028,5094,184,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Crenotrichaceae","Crenothrix",37,"Gammaproteobacteria"
"115","Otu005135",0,0,1,0,0,0,3,0.587496984741246,0.02,0.046,5134,182,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylocaldum",59,"Gammaproteobacteria"
"116","Otu005378",0,0,1,0,0,0,3,0.55097316501934,0.02,0.046,5377,170,"Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylococcaceae_unclassified",49,"Gammaproteobacteria"
"117","Otu005559",0,0,1,0,0,0,3,0.764353787856912,0.01,0.028,5558,162,"Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Rhodocyclaceae_unclassified",47,"Betaproteobacteria"
"118","Otu005757",0,0,1,0,0,0,3,0.589220679289243,0.01,0.028,5756,154,"Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified",31,"Proteobacteria_unclassified"
"119","Otu005759",0,0,1,0,0,0,3,0.564734657733045,0.01,0.028,5758,154,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","SM2D12_unclassified",29,"Alphaproteobacteria"
"120","Otu006540",0,0,1,0,0,0,3,0.633559078482483,0.01,0.028,6536,128,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Syntrophus",41,"Deltaproteobacteria"
